sp	lat	lon	alt	sigma_h	sigma_v	fixInfo	epsg
ScanPos033	35.902522256119688	-75.592015999781538	-32.481162707321346	0.014099999330937862	0.012600000016391277	RTK fixed	6319
ScanPos034	35.902292043631199	-75.591909075849813	-32.423320452682674	0.014099999330937862	0.01249999925494194	RTK fixed	6319
ScanPos035	35.90206632708842	-75.59179819804028	-32.243862495757639	0.55099999904632568	0.68599998950958252	RTK float	6319
ScanPos036	35.901897548270469	-75.591714412288184	-32.585247504524887	0.59000003337860107	0.76299995183944702	RTK float	6319
ScanPos037	35.901644871318652	-75.59155728837122	-32.606148766353726	0.42799997329711914	0.55199998617172241	RTK float	6319
ScanPos038	35.901443100338668	-75.591431092686108	-32.693404632620513	0.10520000010728836	0.15940000116825104	Single	6319
ScanPos039	35.901236835225724	-75.59131631774278	-32.569044644013047	0.1160999983549118	0.17239999771118164	Single	6319
ScanPos040	35.900983827868316	-75.591197556402633	-32.695914844982326	0.59700000286102295	0.74400001764297485	RTK float	6319
ScanPos041	35.900836133338174	-75.591118663537443	-32.394027665257454	0.37599998712539673	0.4649999737739563	RTK float	6319
ScanPos042	35.900698099274301	-75.591043055312667	-32.636026939377189	0.62199997901916504	0.74800002574920654	RTK float	6319
ScanPos043	35.900544071248042	-75.590951974770135	-32.552285641431808	0.46299996972084045	0.5559999942779541	RTK float	6319
ScanPos044	35.900386668758564	-75.590866043301233	-32.33948059938848	0.014099999330937862	0.010099999606609344	RTK fixed	6319
ScanPos045	35.900294803351969	-75.590802367741148	-32.391336658969522	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos046	35.900216429516902	-75.590749857756634	-32.4573980178684	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos047	35.90012378991392	-75.590694680987767	-32.490320337936282	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos048	35.899995899992462	-75.590625994671342	-32.44585938565433	0.014099999330937862	0.0099999997764825821	RTK fixed	6319
ScanPos049	35.899826884980989	-75.590531122558417	-32.525195869617164	0.014099999330937862	0.010099999606609344	RTK fixed	6319
ScanPos050	35.899682129730927	-75.590450788857083	-32.448212908580899	0.014099999330937862	0.010400000028312206	RTK fixed	6319
