sp	lat	lon	alt	sigma_h	sigma_v	fixInfo	epsg
ScanPos016	35.850107705620147	-75.564949990742093	-32.604387423954904	0.014099999330937862	0.011899999342858791	RTK fixed	6319
ScanPos017	35.850107734575971	-75.564950032315494	-32.614683226682246	0.014099999330937862	0.011899999342858791	RTK fixed	6319
ScanPos018	35.850381721202268	-75.565048160558817	-32.557451460510492	0.014099999330937862	0.011899999342858791	RTK fixed	6319
ScanPos019	35.850556136952299	-75.565087126218899	-32.640418288297951	0.014099999330937862	0.012000000104308128	RTK fixed	6319
ScanPos020	35.850749503197662	-75.565143852843363	-32.664738261140883	0.014099999330937862	0.012199999764561653	RTK fixed	6319
ScanPos021	35.850927255374806	-75.565224643881379	-32.642633458599448	0.014099999330937862	0.013700000010430813	RTK fixed	6319
ScanPos022	35.851127114741985	-75.565347027747805	-32.724181428551674	0.014099999330937862	0.01640000008046627	RTK fixed	6319
ScanPos023	35.851406097594761	-75.565498402843275	-32.761867387220263	0.014099999330937862	0.013499999418854713	RTK fixed	6319
ScanPos024	35.851745449087424	-75.565642524678069	-32.92915113735944	0.014099999330937862	0.015199999324977398	RTK fixed	6319
ScanPos025	35.85204328149436	-75.565772978790761	-32.701982416212559	0.014099999330937862	0.01269999984651804	RTK fixed	6319
ScanPos026	35.852277122355787	-75.565868974057324	-32.623055356554687	0.014099999330937862	0.012899999506771564	RTK fixed	6319
ScanPos027	35.852520758508035	-75.565987999740926	-32.663903849199414	0.014099999330937862	0.01529999915510416	RTK fixed	6319
ScanPos028	35.852868364942431	-75.566136219561841	-32.604982383549213	0.014099999330937862	0.012799999676644802	RTK fixed	6319
ScanPos029	35.853131000322449	-75.566252622695089	-32.78474316932261	0.014099999330937862	0.014399999752640724	RTK fixed	6319
ScanPos030	35.853470259616117	-75.566424168419047	-33.060526100918651	0.014099999330937862	0.018600000068545341	RTK fixed	6319
ScanPos031	35.853739388182362	-75.566537777669623	-32.810114093124866	0.014099999330937862	0.012899999506771564	RTK fixed	6319
ScanPos032	35.853993882759632	-75.566639740712787	-32.877655123360455	0.014099999330937862	0.012799999676644802	RTK fixed	6319
ScanPos033	35.85419911402667	-75.566731942982415	-32.893674020655453	0.014099999330937862	0.015899999067187309	RTK fixed	6319
ScanPos034	35.85440688613344	-75.56680941377607	-32.879523707553744	0.014099999330937862	0.01269999984651804	RTK fixed	6319
ScanPos035	35.854650472200468	-75.5668970397642	-32.88577407412231	0.014099999330937862	0.012600000016391277	RTK fixed	6319
ScanPos036	35.854918121273769	-75.566969680044863	-32.744484007358551	0.014099999330937862	0.012600000016391277	RTK fixed	6319
